CATEGORYNEWxx	PAYEENEWxx	SEARCHTERMxx	lengthxx
CLUBDUES	_IMKC_EBERTSWIL_	_INTERNATIONAL_MUMS_A._K	24
CCARD	COLLECTION_SWISSCARD_AEC	COLLECTION_SWISSCARD_AEC	24
TOWERRENT	WASSER_UND_ELEKTRIZTATS	WASSER_UND_ELEKTRIZTATS	23
CLUBDUES	_TENNISCLUB_HUENENBERG	_TENNISCLUB_HUENENBERG	22
WINE	AMERICAN_WINES_FACTORY	AMERICAN_WINES_FACTORY	22
DIE_SCHWEIZERIS	"DIE_SCHWEIZERISCHE_POST,_POSTMAIL_ADDRES"	DIE_SCHWEIZERISCHE_POS	22
LANDHOUSZONE_HU	"LANDHOUSZONE_HUOBRAIN,"	"LANDHOUSZONE_HUOBRAIN,"	22
LIFESTYLEMANAGE	LIFESTYLEMANAGERS_GMBH	LIFESTYLEMANAGERS_GMBH	22
SCHOOL	SILVIA_SCHUTZ_MULLER_	SILVIA_SCHUTZ_MULLER_	21
TOWERRENT	SM_IMMOBILIEN_SCHWERI	SM_IMMOBILIEN_SCHWERI	21
CLOTHES	_BEELINE_RETAIL_AG__	_BEELINE_RETAIL_AG__	20
HOBBY	_SATTEL-HOCHSTUCKLI_	_SATTEL-HOCHSTUCKLI_	20
HOMEREPAIR	BRUDERUS_HEIZTECHNIK	BRUDERUS_HEIZTECHNIK	20
MARCEL_UND_PRIS	"MARCEL_UND_PRISKA,_G"	"MARCEL_UND_PRISKA,_G"	20
MARIONNAUD_PARFUMERI	MARIONNAUD_PARFUMERI	MARIONNAUD_PARFUMERI	20
BOUTIQUE	CRABTREE_+_EVELYN_	_CRABTREE_+_EVELYN_	19
LEGAL	_EINWOHNERGEMEINDE_	_EINWOHNERGEMEINDE_	19
BANKFEES	ADMINISTRATION_FEES	ADMINISTRATION_FEES	19
LEGAL	AMT_FUER_MIGRATION_	AMT_FUER_MIGRATION_	19
HOMEREPAIR	"FRETZ_KANAL-SERVICE_AG,_POSTFACH_5052,_6"	FRETZ_KANAL-SERVICE	19
MEDICAL	LABOR_DR._GUENTERT_	LABOR_DR._GUENTERT_	19
BOUTIQUE	SCHWEIZER_HEIMATWER	SCHWEIZER_HEIMATWER	19
STRASSENVERKEHRSAMT_	STRASSENVERKEHRSAMT	STRASSENVERKEHRSAMT	19
ANDREAS_HURLIMANN	ANDREAS_HURLIMANN_	ANDREAS_HURLIMANN_	18
PETROL	BP_AUTOBAHNCENTER_	BP_AUTOBAHNCENTER_	18
BANKFEES	DETAILS_OF_CLOSING	DETAILS_OF_CLOSING	18
F-K_MARINE_SERV	F-K_MARINE_SERVICE	F-K_MARINE_SERVICE	18
BANKFEES	MAESTRO_ANNUAL_FEE_	MAESTRO_ANNUAL_FEE	18
OFFICE	MICROSOFT_DIRECT_S	MICROSOFT_DIRECT_S	18
tennis	TENNISCLUB_HUENENB	TENNISCLUB_HUENENB	18
BOUTIQUE	DREAMCORNER_AIRS	_DREAMCORNER_AIRS	17
COURTNEY_MALCAR	COURTNEY_MALCARNE	COURTNEY_MALCARNE	17
LANDTWING_ELEKT	LANDTWING_ELEKTRO	LANDTWING_ELEKTRO	17
JEWELS	SWAROVSKI_PARTNER	SWAROVSKI_PARTNER	17
CLUBDUES	_IMKC_EBERTSWIL_	_IMKC_EBERTSWIL_	16
CLUBDUES	MUKI	_JUGENDTURNEN_TV	16
CLOTHES	_RENATA_FASHION_	_RENATA_FASHION_	16
CLOTHES	DEPARTMENT_STORE	DEPARTMENT_STORE	16
EINWHONERGEMEIN	EINWHONERGEMEIND	EINWHONERGEMEIND	16
FITNESS	FITNESS-PARK_ZUG	FITNESS-PARK_ZUG	16
TOYS	FRANZ_CARL_WEBER	FRANZ_CARL_WEBER	16
STEUER	KANTONAL_STEUERV	KANTONAL_STEUERV	16
LOCHER_AG	LOCHER_WERKZEUGE	LOCHER_WERKZEUGE	16
LOCHER_AG	LOCHER-WERKZEUGE	LOCHER-WERKZEUGE	16
MATTHIAS_TRINLE	MATTHIAS_TRINLER	MATTHIAS_TRINLER	16
NESTLE_NESPRESS	NESTLE_NESPRESSO	NESTLE_NESPRESSO	16
tennis	TENNIS_AND_SQUAS	TENNIS_AND_SQUAS	16
HOBBY	BUCHER_BALMER_	_BUCHER_BALMER_	15
BOUTIQUE	CACHET_CACHET_	_CACHET_CACHET_	15
CLOTHES	_CHICOREE_MODE_	_CHICOREE_MODE_	15
HOBBY	ALPHA_FOTO_GMBH	ALPHA_FOTO_GMBH	15
MEDICAL	FOTO_OPTIK_GRAU	FOTO_OPTIK_GRAU	15
ANDREA_ZANK-RATZEL	FR._ANDREA_ZANK	FR._ANDREA_ZANK	15
BANKFEES	MAINTENANCE_FEE	MAINTENANCE_FEE	15
BOATEXP	KUENG_FRANZ	MARINE_SERVICE_	15
MATHIEU_LONGPRE	MATHIEU_LONGPRE	MATHIEU_LONGPRE	15
FURNISHING	MOEBEL_PFISTER_	MOEBEL_PFISTER_	15
OTHMAR_LIMACHER	"OTHMAR_LIMACHER,_DORFGAESSLI_14,_6330_CH"	OTHMAR_LIMACHER	15
HOMEREPAIR	PIUS_MUELLER-WI	PIUS_MUELLER-WI	15
BOUTIQUE	SWIZZ_KIDZ_GMBH	SWIZZ_KIDZ_GMBH	15
ZUGER_EISLAUFVE	ZUGER_EISLAUFVE	ZUGER_EISLAUFVE	15
CLOTHES	_ALL_FOR_KIDS_	_ALL_FOR_KIDS_	14
CLOTHES	_BALLOON_KIDS_	_BALLOON_KIDS_	14
CLUBDUES	TENNIS	_BIRGIT_KLEIN_	14
CLOTHES	_COMPANYS_ZUG_	_COMPANYS_ZUG_	14
MEDICAL	DR._F._KAEPPEL	DR._F._KAEPPEL	14
FRANZ_HUBER_AG	FRANZ_HUBER_AG	FRANZ_HUBER_AG	14
"NICOLE_LONGPRE,"	NICOLE_LONGPRE	NICOLE_LONGPRE	14
BOUTIQUE	BELLE_FLEUR_	_BELLE_FLEUR_	13
HOBBY	BADER_VERSAND	BADER_VERSAND	13
EMPLOYEE	BARBARA_SIMON	BARBARA_SIMON	13
INVESTS	CASH_DIVIDEND	CASH_DIVIDEND	13
CATERING	COMME_IL_FAUT	COMME_IL_FAUT	13
LEGAL	"GERICHTSKASSE,_STAATSANWALTSCHAFT,_6301_"	GERICHTSKASSE	13
FURNISHING	MOEBEL-MAERKI	MOEBEL-MAERKI	13
POINT_LOOKOUT	POINT_LOOKOUT	POINT_LOOKOUT	13
"PRV_PROVIDES,_P"	"PRV_PROVIDES,"	"PRV_PROVIDES,"	13
LEGAL	STEPHAN_KAMER	STEPHAN_KAMER	13
FOOD	STOP_AND_SHOP	STOP_AND_SHOP	13
TRAVEL	TRAVEL_AGENCY	TRAVEL_AGENCY	13
SWISSAIR	ZUERICH_AIRPO	ZUERICH_AIRPO	13
CLOTHES	ALL_FOR_KIDS	ALL_FOR_KIDS	12
RESTAURANT	BERGGASTHAUS	BERGGASTHAUS	12
FOOD	LUPIS_FRISCH	LUPIS_FRISCH	12
MARY_LAWLER-HUO	MARY_LAWLER-	MARY_LAWLER-	12
NUGGIHUUS_AG	NUGGIHUUS_AG	NUGGIHUUS_AG	12
CLOTHES	RUTH_UTIGER_	RUTH_UTIGER_	12
TRAVEL	US_OPEN_2007	US_OPEN_2007	12
HOMEREPAIR	UTIGER_MALER	UTIGER_MALER	12
INSURANCE	VERSICHERUNG	VERSICHERUNG	12
CLOTHES	_C_&_A_MODE	_C_&_A_MODE	11
AUTOMOBILE	AUTO_KAISER_AG	AUTO_KAISER	11
BOATEXP	BEAT_KEISER	BEAT_KEISER	11
MEDICAL	BEATA_HUBER	BEATA_HUBER	11
BOUTIQUE	BED_&_TABLE__	BED_&_TABLE	11
BLUMEN	BLUEMELAUBE	BLUEMELAUBE	11
CONFISERIE	CONFISERIE	CONFISERIE_	11
BOUTIQUE	FINE-DECOR_	FINE-DECOR_	11
HOUSECAP	HELFENSTEIN	HELFENSTEIN	11
TRANSFER	INTERACTIVE	INTERACTIVE	11
INVESTMT	INVESTSHARE	INVESTSHARE	11
IRENE_KALT_	IRENE_KALT_	IRENE_KALT_	11
FOOD	KING_KULLEN	KING_KULLEN	11
BOATEXP	KUENG_FRANZ	KUENG_FRANZ	11
CLOTHES	RALPHLAUREN	RALPHLAUREN	11
FOOD	SUPERMARKET	SUPERMARKET	11
HOUSEHOLD	WASSERWERKE	WASSERWERKE	11
CLOTHES	_CLAIRE'S_	_CLAIRE'S_	10
BAKER	CREABECK	_CREA_BECK	10
HOUSEHOLD	BARMETTLER	BARMETTLER	10
HOMEWARE	BED_&_TABL	BED_&_TABL	10
DATA_QUEST	DATA_QUEST	DATA_QUEST	10
BOATEXP	"FRANZ_KUNG,_MARINE_SERVICE,_6300_ZUGBOAT"	FRANZ_KUNG	10
CLOTHES	LORD_&_TAY	LORD_&_TAY	10
SCHOOL	MONTESSORI	MONTESSORI	10
FOOD	_OTTO'S_AG_	OTTO'S_AG_	10
RENTCAR	RENTAL_CAR	RENTAL_CAR	10
RESTAURANT	RESTAURANT	RESTAURANT	10
CARS	TANKSTELLE	TANKSTELLE	10
INSURANCE	WINTERTHUR	WINTERTHUR	10
CASH	ATM	WITHDRAWAL	10
SPORT	ZUG_FLAMES	ZUG_FLAMES	10
CLOTHES	_BENETEC_	_BENETEC_	9
CLOTHES	_OCHSNER_	_OCHSNER_	9
APOTHEKE	APOTHEKE_	APOTHEKE_	9
EMPLOYEE	AHV	AUSGLEICH	9
OFFICE	BONDFIELD	BONDFIELD	9
CHECK_833	CHECK_833	CHECK_833	9
CHECK_DEPOSIT	CHECK_REM	CHECK_REM	9
RENTCAR	EUROPACAR	EUROPACAR	9
EXAGON	EXAGON_AG	EXAGON_AG	9
HOUSECAP	GARTENBAU	GARTENBAU	9
LOCHER_AG	LOCHER_AG	LOCHER_AG	9
FOOD	METZGEREI	METZGEREI	9
OPERNHAUS	OPERNHAUS	OPERNHAUS	9
BOUTIQUE	PAPETERIE_	PAPETERIE	9
CLOTHES	SCHUHHAUS	SCHUHHAUS	9
MEDICAL	SINOSWISS_MEDICAL	SINOSWISS	9
DRYCLEAN	TERLINDEN	TERLINDEN	9
FOOD	WALDBAUMS	WALDBAUMS	9
RESTAURANT	WEINSTUBE	WEINSTUBE	9
DENTAL	ZAHNAERZTEKASSE_	ZAHNAERZT	9
CLOTHES	_GLOBUS_	_GLOBUS_	8
CLOTHES	_GRIEDER	_GRIEDER	8
SHOES	_SCHUHE_	_SCHUHE_	8
EMPLOYEE	AQUELINA	AQUELINA	8
CASH	ATM	BANCOMAT	8
OFFICE	BONDFIELD	BONFIELD	8
BOUTIQUE	BOUTIQUE	BOUTIQUE	8
CLOTHES	CLOTHING	CLOTHING	8
HAIR	COIFFURE	COIFFURE	8
EMPLOYEE	COVALEDA	COVALEDA	8
EINWOHGEMEI	EINWOHGE	EINWOHGE	8
EMPLOYEE	FERREIRA	FERREIRA	8
STEUER	FINANZVE	FINANZVE	8
GIANGI	GALEAZZI	GALEAZZI	8
CLOTHES	GAPSTYLE	GAPSTYLE	8
TRANSFER	GARRISON	GARRISON	8
OFFICE	GOTOMYPC	GOTOMYPC	8
SCHOOL	GYMBOREE	GYMBOREE	8
MTGE	HYPOTHEK	HYPOTHEK	8
FURNISHING	INNENDEK.AMFISCH	INNENDEK	8
CLOTHES	MANOR_AG	MANOR_AG	8
MTGE	MATURITY	MATURITY	8
RESTAURANT	MCDONALD	MCDONALD	8
MEDICAL	MEDIKONT	MEDIKONT	8
DRYCLEAN	_NOVOTEX_	NOVOTEX_	8
TRANSFER	ROSSELAN	ROSSELAN	8
SWISSAIR	SWISSAIR	SWISSAIR	8
HOUSEHOLD	SWISSCOM	SWISSCOM	8
TRANSFER	TRANSFER	TRANSFER	8
INSURANCE	VAUDOISE	VAUDOISE	8
CASH	ATM	WITHDRWL	8
CLOTHES	_ESPRIT	_ESPRIT	7
MEDICAL	BERENDT	BERENDT	7
EMPLOYEE	CYNTHIA	CYNTHIA	7
MEDICAL	DR._MED	DR._MED	7
HOBBY	FRAMING	FRAMING	7
CLOTHES	FRIDAYS	FRIDAYS	7
HOUSECAP	FUST_AG	FUST_AG	7
HUPFELD	HUPFELD	HUPFELD	7
CLOTHES	JELMOLI	JELMOLI	7
FOOD	LE_SHOP	LE_SHOP	7
POLIZEI	POLIZEI	POLIZEI	7
INSURANCE	PROGRES	PROGRES	7
INSURANCE	SANITAS	SANITAS	7
TRANSFER	SKIRROW	SKIRROW	7
BOUTIQUE	TCHIBO_	TCHIBO_	7
TOYS	TOYSRUS	TOYSRUS	7
INSURANCE	VERSICH	VERSICH	7
PETROL	AGROLA	AGROLA	6
HOUSEHOLD	BILLAG	BILLAG	6
BLUMEN	BLUMEN	BLUMEN	6
FOOD	DENNER	DENNER	6
DISNEY	DISNEY	DISNEY	6
MEDICAL	DR.MED	DR.MED	6
APOTHEKE	_DROPA_	DROPA_	6
CLOTHES	HERMES	HERMES	6
FOOD	LESHOP	LESHOP	6
FOOD	MIGROL	MIGROL	6
FOOD	MIGROS	MIGROS	6
CARS	PETROL	PETROL	6
SCHOOL	SCHULE	SCHULE	6
FOOD	SCHUWO_AG	SCHUWO	6
STEUER	STEUER	STEUER	6
JEWELS	TAYLOR	TAYLOR	6
CCARDUBS UBSCARDS VIS1W_OBJECTION_ 15
UBS_AG	UBS_AG	UBS_AG	6
MEDICAL	AERTZTEKASSE	AERTZ	5
RESTAURANT	AKLIN	AKLIN	5
EMPLOYEE	BOZZI	BOZZI	5
CCARDVISA	BRAC1	BRAC1	5
CARS	CILAG	CILAG	5
TRANSFER	DELTA	DELTA	5
FELIX	FELIX	FELIX	5
HOUSEHOLD	FOERY	FOERY	5
CLOTHES	H_&_M	H_&_M	5
HOTEL	HOTEL	HOTEL	5
HOTEL	HOTEL	HOTEL	5
MTGE	HYPOT	HYPOT	5
JEWELS	LOHRI	LOHRI	5
JEWELS	NIVES	NIVES	5
HUPFELD	PFULG	PFULG	5
HOBBY	PHOTO	PHOTO	5
TRANSFER	PRIOR	PRIOR	5
BOUTIQUE	SCANSHOP	SCAN_	5
CARS	SHELL	SHELL	5
SPORT	SPORT	SPORT	5
CARS	STAUB	STAUB	5
TOYS	TOYS_	TOYS_	5
CCARDSW	VIS1W	VIS1W	5
AUTOMOBILE	AMAG	AMAG	4
CARS	AVIA	AVIA	4
RENTCAR	AVIS	AVIS	4
INSURANCE	AXA_	AXA_	4
FOOD	COOP	COOP	4
HOUSECAP	IKEA	IKEA	4
FOOD	SPAR	SPAR	4
CASH	ATM	ATM	3
INSURANCE	AXA	AXA	3
DHL	DHL	DHL	3
TRAVEL	SBB	SBB	3
CASH	ATM	CHAMCARD 9
CASH	ATM	METALLICARD	9
LOCHER	LOCHER	LOCHER_WERNER	15
AMERICAN_MARKET	AMERICAN_MARKET	AMERICAN_MARKET	15
CITYDISC_ZUG	CITYDISC_ZUG	CITYDISC_ZUG	15
SKYPE	SKYPE	SKYPE	15
POINT_LOOKOUT	POINT_LOOKOUT	POINT_LOOKOUT	15
GIFT_SHOP	GIFT_SHOP	GIFT_SHOP	15
NEW_YORK	NEW_YORK	NEW_YORK	15
EMPTY_CATEGORY	EMPTY	EMPTY	5
